Start Time,End Time,In,Out
Unknown,7/2/2026 8:30 AM,72,Unknown
7/2/2026 8:30 AM,7/2/2026 9:00 AM,38,4
7/2/2026 9:00 AM,7/2/2026 9:30 AM,53,16
7/2/2026 9:30 AM,7/2/2026 10:00 AM,48,20
7/2/2026 10:00 AM,7/2/2026 10:30 AM,54,36
7/2/2026 10:30 AM,7/2/2026 11:00 AM,75,70
7/2/2026 11:00 AM,7/2/2026 11:30 AM,103,93
7/2/2026 11:30 AM,7/2/2026 12:00 PM,81,87
7/2/2026 12:00 PM,7/2/2026 12:30 PM,41,64
7/2/2026 12:30 PM,7/2/2026 1:00 PM,52,53
7/2/2026 1:00 PM,7/2/2026 1:30 PM,57,60
7/2/2026 1:30 PM,7/2/2026 2:00 PM,57,67
7/2/2026 2:00 PM,7/2/2026 2:30 PM,40,51
7/2/2026 2:30 PM,7/2/2026 3:00 PM,44,60